college id,name,autonomous,constructed_area,evening,girl_exclusive,is_foreign_students_enrolled,no_of_student_hostel,offers_loan,offers_scholarship,staff_quarter_available,student_hostel_available,year_of_establishment,auditorium,cafeteria,common_room,computer_center,conference_hall,connectivity_nkn,connectivity_nmeict,guest_house,gymnasium_fitness_center,health_center,indoor_stadium,laboratory,library,no_of_auditoriums,no_of_cafeteria,no_of_common_rooms,no_of_computer_centers,no_of_conference_halls,no_of_guest_houses,no_of_gymnasim_fitness_centers,no_of_health_centers,no_of_indoor_stadiums,no_of_laboratories,no_of_libraries,no_of_playgrounds,no_of_separate_rooms_for_girls,no_of_theatres,playground,separate_room_for_girls,solar_power_generation,theatre,score
7376, Science College  Nanded ,false,7943.14,false,false,false,2,false,false,true,true,1950,true,true,true,true,true,false,false,false,true,true,true,true,true,1,1,1,1,1,0,1,1,1,1,1,1,1,1,true,true,false,true,3.47
46111, KRISHNA INSTITUTE OF ENGINEERING AND TECHNOLOGY  GHAZIABAD ,false,65784,false,false,false,7,false,true,true,true,1998,true,true,true,true,true,false,false,true,true,true,false,true,true,1,1,1,1,1,1,1,1,0,9,3,1,1,0,true,true,false,false,3.1
32910, Gitarattan International Business School ,false,4223,false,false,false,0,false,false,false,false,2004,true,true,true,true,true,false,false,false,false,false,false,true,true,1,1,1,1,1,0,0,0,0,1,1,1,1,0,true,true,false,false,2.57
42515, KAMLA NEHRU PHYSICAL & SOCIAL SCIENCES SANSTHAN  SULTANPUR ,false,29651,false,false,false,1,false,true,false,true,1972,false,false,true,true,true,false,false,true,true,false,false,true,true,0,0,1,1,1,1,1,0,0,1,1,1,1,0,true,true,false,false,7.34
39593, Kishore Nagar College Kishore Nagar Cuttack ,false,2037922,false,false,false,0,false,true,false,false,1979,false,false,true,true,false,false,false,false,false,false,false,true,true,0,0,1,1,0,0,0,0,0,1,1,0,1,0,false,true,false,false,5.7
45360, MAYNAGURI COLLEGE  JALPAIGURI ,false,2800,false,false,false,0,false,true,false,false,1999,true,true,true,true,true,false,true,false,false,false,false,true,true,1,1,1,1,1,0,0,0,0,1,1,1,1,0,true,true,false,false,7.5
17123, Tangla College ,false,2819,false,false,false,1,false,true,false,true,1970,false,false,true,true,true,false,false,false,false,false,false,true,true,0,0,1,1,1,0,0,0,0,1,1,1,0,0,true,false,false,false,7.2
673, M. K. Institute of Computer Studies (B. C. A.) ,false,2.5,false,false,false,0,false,true,false,false,2001,true,false,true,true,true,false,false,false,true,false,false,true,true,1,0,1,1,1,0,1,0,0,1,1,1,1,0,true,true,false,false,2.2
15735, C.B. KHEDGIS BASAVESHWAR SC RAJAVIJAYSINGH COMM & RAJA JAYSING ARTS COLLEGE AKKALKOT 413216   SOLAPUR ,false,3722.6,false,false,false,1,false,true,false,true,1970,true,false,true,true,true,false,false,true,true,true,true,true,true,1,0,1,1,1,1,1,1,1,1,1,1,1,0,true,true,false,false,2.74
17111, Chaiduar College ,false,4741.4,false,false,false,2,false,true,false,true,1967,true,false,true,true,false,false,false,false,false,false,false,true,true,1,0,1,1,0,0,0,0,0,1,1,1,1,0,true,true,false,false,2.64
